Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
sift,0.57,0.79,0.84,0.90,0.91,0.91,0.92,0.92,0.93,0.94,398.00,398.00,0.34,0.48,0.58,0.65,0.68,0.72,0.76,0.78,0.80,0.81,1001.00,1001.00,0.45,0.63,0.71,0.77,0.79,0.81,0.84,0.85,0.86,0.87,710.00,710.00
surf,0.52,0.75,0.81,0.86,0.88,0.89,0.91,0.91,0.91,0.92,380.00,380.00,0.30,0.43,0.53,0.58,0.65,0.70,0.73,0.76,0.78,0.79,623.00,623.00,0.41,0.59,0.67,0.72,0.76,0.79,0.82,0.83,0.84,0.85,506.00,506.00
orb,0.18,0.26,0.30,0.31,0.36,0.37,0.38,0.38,0.39,0.41,26.00,25.00,0.02,0.10,0.14,0.19,0.24,0.29,0.31,0.33,0.34,0.36,14.00,13.00,0.10,0.18,0.22,0.25,0.30,0.33,0.35,0.36,0.37,0.38,19.00,19.00
kaze,0.42,0.67,0.77,0.80,0.84,0.85,0.86,0.86,0.87,0.88,372.00,372.00,0.27,0.43,0.52,0.59,0.65,0.68,0.72,0.75,0.77,0.77,704.00,704.00,0.35,0.54,0.64,0.69,0.74,0.76,0.79,0.81,0.82,0.83,544.00,544.00
akaze,0.35,0.57,0.65,0.70,0.72,0.74,0.75,0.75,0.77,0.77,186.00,186.00,0.18,0.33,0.40,0.46,0.51,0.56,0.58,0.61,0.63,0.66,250.00,250.00,0.26,0.45,0.52,0.58,0.61,0.65,0.66,0.68,0.69,0.71,219.00,219.00
