Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
sift,0.65,0.82,0.87,0.91,0.92,0.93,0.93,0.93,0.94,0.94,2901.00,398.00,0.51,0.74,0.83,0.87,0.89,0.91,0.91,0.92,0.92,0.92,6129.00,1001.00,0.58,0.78,0.85,0.89,0.91,0.92,0.92,0.93,0.93,0.93,4572.00,710.00
surf,0.60,0.79,0.85,0.89,0.91,0.91,0.92,0.92,0.92,0.92,3916.00,380.00,0.35,0.62,0.74,0.80,0.83,0.86,0.87,0.88,0.88,0.89,7948.00,623.00,0.47,0.70,0.80,0.85,0.87,0.88,0.89,0.90,0.90,0.91,6003.00,506.00
orb,0.47,0.59,0.68,0.72,0.73,0.73,0.73,0.74,0.74,0.74,498.00,26.00,0.27,0.56,0.68,0.72,0.74,0.74,0.74,0.75,0.75,0.75,499.00,14.00,0.37,0.58,0.68,0.72,0.73,0.74,0.74,0.74,0.74,0.74,499.00,19.00
kaze,0.59,0.80,0.86,0.91,0.92,0.93,0.93,0.94,0.94,0.94,1965.00,372.00,0.41,0.68,0.80,0.86,0.89,0.90,0.91,0.92,0.92,0.93,4196.00,704.00,0.50,0.74,0.83,0.88,0.90,0.92,0.92,0.93,0.93,0.94,3120.00,544.00
akaze,0.57,0.77,0.84,0.88,0.90,0.90,0.91,0.91,0.91,0.91,1584.00,186.00,0.42,0.66,0.78,0.82,0.84,0.86,0.86,0.87,0.87,0.88,3729.00,250.00,0.49,0.71,0.80,0.85,0.87,0.88,0.88,0.89,0.89,0.89,2694.00,219.00
