Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
sift,0.55,0.76,0.81,0.86,0.87,0.88,0.90,0.91,0.92,0.92,341.00,341.00,0.34,0.45,0.54,0.62,0.65,0.70,0.75,0.77,0.80,0.80,844.00,844.00,0.44,0.60,0.67,0.73,0.76,0.79,0.82,0.84,0.85,0.86,602.00,601.00
surf,0.53,0.72,0.77,0.80,0.83,0.85,0.86,0.88,0.89,0.90,309.00,309.00,0.30,0.42,0.52,0.58,0.63,0.66,0.68,0.70,0.71,0.73,464.00,464.00,0.41,0.56,0.64,0.69,0.73,0.75,0.77,0.79,0.80,0.81,389.00,389.00
orb,0.19,0.26,0.28,0.32,0.34,0.34,0.34,0.35,0.35,0.35,18.00,18.00,0.01,0.05,0.08,0.14,0.19,0.22,0.25,0.27,0.28,0.29,8.00,7.00,0.10,0.15,0.18,0.23,0.26,0.28,0.29,0.31,0.31,0.32,13.00,12.00
kaze,0.40,0.60,0.71,0.75,0.78,0.80,0.82,0.82,0.83,0.85,317.00,317.00,0.25,0.42,0.50,0.55,0.61,0.67,0.69,0.71,0.73,0.73,568.00,568.00,0.33,0.51,0.60,0.65,0.69,0.73,0.75,0.76,0.78,0.79,447.00,447.00
akaze,0.33,0.52,0.62,0.64,0.67,0.69,0.69,0.70,0.71,0.71,142.00,142.00,0.18,0.30,0.38,0.44,0.48,0.51,0.54,0.56,0.57,0.58,165.00,165.00,0.25,0.41,0.50,0.54,0.57,0.60,0.62,0.62,0.64,0.64,154.00,154.00
