Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
superpoint,0.3,0.45,0.51,0.56,0.58,0.59,0.6,0.61,0.62,0.62,65,65,0.03,0.08,0.11,0.15,0.16,0.17,0.2,0.21,0.22,0.24,19,19,0.16,0.26,0.31,0.35,0.36,0.37,0.39,0.4,0.41,0.42,41,41
superglue,0.62,0.88,0.94,0.97,0.99,0.99,1,1,1,1,530,530,0.4,0.6,0.72,0.78,0.81,0.84,0.86,0.88,0.9,0.91,466,466,0.51,0.73,0.83,0.87,0.9,0.91,0.93,0.94,0.95,0.95,497,497
patch2pix,0.75,0.91,0.96,0.98,0.98,1,1,1,1,1,1504,1504,0.28,0.55,0.66,0.71,0.76,0.8,0.81,0.83,0.84,0.85,1368,1368,0.51,0.72,0.81,0.84,0.87,0.89,0.9,0.91,0.92,0.92,1434,1434
dfm,0.48,0.7,0.78,0.81,0.85,0.85,0.85,0.87,0.89,0.9,1283,1283,0.01,0.06,0.14,0.23,0.3,0.36,0.4,0.46,0.48,0.52,506,506,0.24,0.37,0.45,0.51,0.56,0.6,0.62,0.66,0.68,0.7,881,881
