Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
superpoint,0.59,0.7,0.75,0.77,0.78,0.78,0.78,0.78,0.78,0.78,855,65,0.25,0.44,0.51,0.53,0.54,0.54,0.54,0.54,0.54,0.54,982,19,0.42,0.56,0.62,0.64,0.65,0.65,0.65,0.65,0.65,0.65,921,41
superglue,0.49,0.7,0.85,0.92,0.95,0.97,0.97,0.98,0.98,0.99,855,530,0.39,0.71,0.84,0.9,0.92,0.94,0.95,0.95,0.96,0.96,982,466,0.44,0.71,0.84,0.91,0.94,0.95,0.96,0.97,0.97,0.97,921,497
patch2pix,0.45,0.71,0.8,0.86,0.89,0.91,0.92,0.94,0.95,0.96,1504,1504,0.24,0.48,0.59,0.65,0.69,0.72,0.74,0.75,0.77,0.78,1368,1368,0.34,0.59,0.69,0.75,0.79,0.81,0.83,0.84,0.86,0.86,1434,1434
dfm,0.84,0.92,0.93,0.95,0.97,0.97,0.98,0.98,0.98,0.99,1283,1283,0.49,0.76,0.86,0.9,0.92,0.93,0.94,0.94,0.95,0.95,506,506,0.66,0.83,0.89,0.92,0.94,0.95,0.96,0.96,0.97,0.97,881,881
