Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
superpoint,0.6,0.8,0.91,0.95,0.98,0.99,0.99,0.99,0.99,1,855,276,0.39,0.7,0.82,0.87,0.89,0.9,0.9,0.9,0.9,0.9,982,231,0.49,0.75,0.86,0.91,0.93,0.94,0.94,0.95,0.95,0.95,921,253
superglue,0.51,0.74,0.88,0.94,0.97,0.99,0.99,0.99,1,1,855,504,0.4,0.73,0.86,0.91,0.94,0.95,0.96,0.96,0.96,0.97,982,453,0.45,0.73,0.87,0.93,0.96,0.97,0.97,0.98,0.98,0.98,921,478
patch2pix,0.53,0.81,0.9,0.95,0.97,0.98,0.98,0.99,0.99,0.99,1150,1150,0.29,0.59,0.73,0.8,0.84,0.86,0.87,0.88,0.89,0.9,1031,1031,0.41,0.69,0.81,0.87,0.9,0.92,0.93,0.93,0.94,0.94,1088,1088
dfm,0.69,0.86,0.92,0.95,0.98,0.99,0.99,0.99,1,1,4373,4373,0.42,0.71,0.82,0.88,0.91,0.92,0.93,0.94,0.95,0.95,4376,4376,0.55,0.78,0.87,0.91,0.94,0.95,0.96,0.97,0.97,0.97,4375,4375
