Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
superpoint,0.57,0.77,0.85,0.92,0.93,0.95,0.96,0.97,0.97,0.97,276,276,0.22,0.38,0.46,0.53,0.59,0.65,0.68,0.71,0.74,0.75,231,231,0.39,0.57,0.65,0.72,0.75,0.79,0.81,0.83,0.85,0.86,253,253
superglue,0.61,0.88,0.94,0.96,0.98,0.99,1,1,1,1,504,504,0.41,0.61,0.72,0.78,0.82,0.85,0.87,0.89,0.91,0.91,453,453,0.5,0.74,0.82,0.87,0.9,0.92,0.93,0.94,0.95,0.95,478,478
patch2pix,0.72,0.9,0.93,0.98,0.98,0.99,1,1,1,1,1150,1150,0.29,0.5,0.6,0.68,0.72,0.77,0.8,0.84,0.85,0.85,1031,1031,0.5,0.69,0.76,0.82,0.85,0.88,0.9,0.91,0.92,0.92,1088,1088
dfm,0.59,0.82,0.88,0.92,0.94,0.95,0.95,0.97,0.98,0.98,4373,4373,0.13,0.35,0.5,0.59,0.69,0.74,0.76,0.78,0.8,0.81,4376,4376,0.35,0.58,0.68,0.75,0.81,0.84,0.85,0.88,0.88,0.89,4375,4375
