Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
sift,0.52,0.70,0.76,0.82,0.83,0.84,0.85,0.85,0.86,0.87,280.00,280.00,0.32,0.42,0.49,0.57,0.61,0.64,0.66,0.69,0.72,0.77,662.00,662.00,0.41,0.55,0.62,0.69,0.72,0.74,0.75,0.77,0.79,0.81,478.00,477.00
surf,0.46,0.66,0.73,0.76,0.78,0.79,0.80,0.81,0.82,0.82,236.00,236.00,0.25,0.39,0.47,0.52,0.54,0.60,0.62,0.65,0.69,0.70,314.00,314.00,0.35,0.52,0.60,0.64,0.66,0.69,0.71,0.73,0.75,0.76,276.00,276.00
orb,0.21,0.23,0.25,0.27,0.29,0.30,0.30,0.30,0.30,0.30,12.00,12.00,0.00,0.03,0.05,0.09,0.10,0.11,0.13,0.14,0.15,0.16,4.00,3.00,0.10,0.13,0.15,0.18,0.19,0.20,0.21,0.22,0.22,0.23,8.00,7.00
kaze,0.39,0.60,0.68,0.73,0.77,0.78,0.79,0.80,0.81,0.82,258.00,258.00,0.22,0.37,0.43,0.50,0.55,0.58,0.62,0.64,0.66,0.67,426.00,426.00,0.30,0.48,0.55,0.61,0.65,0.68,0.70,0.72,0.73,0.74,345.00,345.00
akaze,0.31,0.45,0.52,0.56,0.58,0.59,0.60,0.62,0.63,0.63,99.00,99.00,0.14,0.28,0.33,0.36,0.41,0.46,0.47,0.49,0.51,0.52,95.00,95.00,0.22,0.36,0.42,0.46,0.49,0.52,0.53,0.55,0.56,0.57,97.00,97.00
