Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
sift,0.70,0.85,0.90,0.94,0.95,0.95,0.96,0.96,0.96,0.96,2901.00,280.00,0.52,0.75,0.84,0.88,0.91,0.92,0.93,0.93,0.94,0.94,6129.00,662.00,0.60,0.80,0.87,0.91,0.93,0.94,0.94,0.95,0.95,0.95,4572.00,478.00
surf,0.65,0.82,0.88,0.91,0.92,0.93,0.93,0.93,0.93,0.93,3916.00,236.00,0.39,0.66,0.78,0.84,0.87,0.89,0.90,0.91,0.91,0.91,7948.00,314.00,0.51,0.74,0.82,0.87,0.89,0.91,0.92,0.92,0.92,0.92,6003.00,276.00
orb,0.45,0.55,0.60,0.61,0.62,0.62,0.62,0.62,0.62,0.62,498.00,12.00,0.26,0.49,0.57,0.59,0.60,0.60,0.61,0.61,0.61,0.61,499.00,4.00,0.35,0.52,0.58,0.60,0.61,0.61,0.61,0.61,0.61,0.61,499.00,8.00
kaze,0.60,0.79,0.84,0.88,0.90,0.90,0.90,0.91,0.91,0.91,1965.00,258.00,0.43,0.69,0.80,0.85,0.88,0.89,0.90,0.91,0.91,0.91,4196.00,426.00,0.51,0.74,0.82,0.87,0.89,0.90,0.90,0.91,0.91,0.91,3120.00,345.00
akaze,0.57,0.73,0.78,0.82,0.83,0.84,0.84,0.85,0.85,0.85,1584.00,99.00,0.42,0.66,0.73,0.76,0.78,0.79,0.80,0.80,0.80,0.80,3729.00,95.00,0.50,0.70,0.76,0.79,0.81,0.82,0.82,0.82,0.82,0.82,2694.00,97.00
