Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
sift,0.36,0.45,0.48,0.50,0.51,0.51,0.52,0.52,0.52,0.52,2901.00,1072.00,0.33,0.47,0.52,0.54,0.55,0.56,0.56,0.57,0.57,0.57,6129.00,2402.00,0.34,0.46,0.50,0.52,0.53,0.54,0.54,0.54,0.55,0.55,4572.00,1760.00
surf,0.31,0.41,0.45,0.49,0.50,0.51,0.51,0.52,0.52,0.53,3916.00,1346.00,0.18,0.33,0.41,0.45,0.47,0.48,0.49,0.50,0.50,0.51,7948.00,2635.00,0.24,0.37,0.43,0.47,0.48,0.50,0.50,0.51,0.51,0.52,6003.00,2013.00
orb,0.24,0.30,0.34,0.36,0.38,0.38,0.39,0.39,0.39,0.39,498.00,169.00,0.15,0.29,0.35,0.37,0.38,0.39,0.39,0.39,0.40,0.40,499.00,170.00,0.19,0.29,0.35,0.37,0.38,0.39,0.39,0.39,0.39,0.40,499.00,170.00
kaze,0.38,0.52,0.57,0.61,0.63,0.64,0.65,0.65,0.66,0.67,1965.00,823.00,0.28,0.48,0.56,0.61,0.63,0.65,0.66,0.67,0.67,0.68,4196.00,1719.00,0.33,0.49,0.57,0.61,0.63,0.64,0.65,0.66,0.67,0.67,3120.00,1287.00
akaze,0.35,0.46,0.50,0.54,0.55,0.56,0.56,0.57,0.57,0.57,1584.00,613.00,0.24,0.38,0.44,0.46,0.48,0.49,0.49,0.50,0.50,0.50,3729.00,1381.00,0.29,0.42,0.47,0.50,0.51,0.52,0.53,0.53,0.53,0.54,2694.00,1011.00
