Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
sift,0.52,0.66,0.71,0.74,0.75,0.75,0.76,0.76,0.76,0.76,2901.00,605.00,0.45,0.64,0.72,0.75,0.77,0.78,0.78,0.79,0.79,0.79,6129.00,1480.00,0.48,0.65,0.71,0.74,0.76,0.77,0.77,0.77,0.78,0.78,4572.00,1058.00
surf,0.44,0.58,0.64,0.68,0.70,0.71,0.71,0.72,0.72,0.72,3916.00,696.00,0.26,0.48,0.58,0.64,0.66,0.68,0.70,0.70,0.71,0.71,7948.00,1315.00,0.35,0.53,0.61,0.66,0.68,0.70,0.70,0.71,0.71,0.72,6003.00,1016.00
orb,0.35,0.43,0.49,0.52,0.54,0.54,0.55,0.55,0.55,0.55,498.00,67.00,0.22,0.43,0.51,0.55,0.56,0.57,0.57,0.57,0.58,0.58,499.00,59.00,0.28,0.43,0.50,0.54,0.55,0.56,0.56,0.56,0.56,0.57,499.00,63.00
kaze,0.50,0.67,0.74,0.79,0.81,0.82,0.83,0.83,0.84,0.84,1965.00,549.00,0.35,0.60,0.71,0.77,0.80,0.82,0.83,0.84,0.84,0.85,4196.00,1139.00,0.42,0.63,0.73,0.78,0.80,0.82,0.83,0.84,0.84,0.85,3120.00,855.00
akaze,0.48,0.65,0.71,0.75,0.77,0.77,0.78,0.78,0.79,0.79,1584.00,333.00,0.34,0.55,0.64,0.68,0.70,0.71,0.71,0.72,0.72,0.73,3729.00,617.00,0.41,0.59,0.67,0.71,0.73,0.74,0.75,0.75,0.75,0.76,2694.00,480.00
