Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
sift,0.61,0.80,0.86,0.91,0.93,0.94,0.95,0.95,0.95,0.95,605.00,605.00,0.39,0.55,0.65,0.72,0.77,0.80,0.82,0.84,0.85,0.86,1480.00,1480.00,0.50,0.67,0.75,0.81,0.85,0.87,0.88,0.89,0.90,0.91,1058.00,1058.00
surf,0.55,0.77,0.85,0.90,0.93,0.95,0.95,0.95,0.95,0.95,696.00,696.00,0.37,0.51,0.59,0.66,0.73,0.77,0.81,0.83,0.85,0.86,1315.00,1315.00,0.46,0.63,0.71,0.78,0.83,0.86,0.88,0.89,0.90,0.91,1016.00,1016.00
orb,0.19,0.32,0.39,0.44,0.49,0.52,0.56,0.58,0.59,0.60,67.00,67.00,0.06,0.18,0.28,0.36,0.41,0.46,0.49,0.52,0.54,0.56,59.00,59.00,0.12,0.24,0.33,0.40,0.45,0.49,0.52,0.55,0.57,0.58,63.00,63.00
kaze,0.43,0.69,0.80,0.85,0.89,0.91,0.92,0.92,0.93,0.93,549.00,549.00,0.31,0.50,0.60,0.70,0.74,0.78,0.81,0.84,0.85,0.85,1139.00,1139.00,0.37,0.59,0.70,0.78,0.81,0.85,0.86,0.88,0.89,0.89,855.00,855.00
akaze,0.40,0.65,0.73,0.79,0.81,0.83,0.85,0.85,0.86,0.86,333.00,333.00,0.27,0.41,0.51,0.57,0.62,0.67,0.71,0.74,0.76,0.77,617.00,617.00,0.33,0.53,0.62,0.68,0.71,0.75,0.78,0.79,0.81,0.81,480.00,480.00
