Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
superpoint,0.59,0.8,0.88,0.93,0.95,0.96,0.97,0.97,0.98,0.98,314,314,0.27,0.41,0.51,0.59,0.67,0.72,0.74,0.76,0.78,0.8,268,268,0.42,0.6,0.69,0.76,0.8,0.83,0.85,0.86,0.88,0.89,290,290
superglue,0.64,0.88,0.93,0.96,0.98,0.99,1,1,1,1,497,497,0.4,0.62,0.72,0.77,0.82,0.85,0.87,0.89,0.9,0.91,448,448,0.51,0.75,0.82,0.86,0.9,0.92,0.93,0.94,0.95,0.95,472,472
patch2pix,0.7,0.9,0.93,0.97,0.98,0.99,0.99,0.99,0.99,0.99,1078,1078,0.27,0.49,0.6,0.67,0.72,0.75,0.79,0.8,0.81,0.84,966,966,0.47,0.68,0.76,0.82,0.85,0.86,0.88,0.89,0.9,0.91,1020,1020
dfm,0.59,0.81,0.9,0.94,0.95,0.96,0.97,0.97,0.98,0.98,5161,5161,0.19,0.41,0.5,0.62,0.72,0.75,0.78,0.8,0.82,0.83,5797,5797,0.38,0.6,0.69,0.78,0.83,0.85,0.87,0.88,0.89,0.9,5490,5490
