Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
superpoint,0.57,0.78,0.89,0.94,0.97,0.98,0.98,0.99,0.99,0.99,855,314,0.39,0.71,0.83,0.87,0.89,0.9,0.91,0.91,0.91,0.92,982,268,0.48,0.74,0.86,0.9,0.93,0.94,0.94,0.95,0.95,0.95,921,290
superglue,0.52,0.75,0.89,0.95,0.98,0.99,0.99,0.99,1,1,855,497,0.4,0.74,0.86,0.92,0.94,0.95,0.96,0.96,0.97,0.97,982,448,0.46,0.74,0.88,0.93,0.96,0.97,0.98,0.98,0.98,0.98,921,472
patch2pix,0.55,0.83,0.92,0.96,0.98,0.98,0.99,0.99,0.99,0.99,1078,1078,0.31,0.61,0.75,0.82,0.86,0.88,0.89,0.9,0.91,0.91,966,966,0.42,0.72,0.83,0.89,0.91,0.93,0.94,0.94,0.95,0.95,1020,1020
dfm,0.66,0.85,0.92,0.95,0.97,0.98,0.99,0.99,1,1,5161,5161,0.41,0.69,0.81,0.87,0.9,0.92,0.93,0.94,0.95,0.95,5797,5797,0.53,0.77,0.86,0.91,0.94,0.95,0.96,0.97,0.97,0.97,5490,5490
