Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
superpoint,0.6,0.85,0.93,0.97,0.98,0.99,1,1,1,1,519,519,0.33,0.52,0.63,0.7,0.75,0.78,0.81,0.83,0.84,0.85,494,494,0.46,0.68,0.77,0.83,0.86,0.88,0.9,0.91,0.91,0.92,506,506
superglue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
patch2pix,0.79,0.92,0.96,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1665,1665,0.29,0.52,0.63,0.71,0.76,0.79,0.81,0.82,0.84,0.85,1454,1454,0.53,0.71,0.79,0.84,0.87,0.89,0.9,0.9,0.91,0.92,1556,1556
dfm,0.65,0.87,0.94,0.97,0.98,0.98,1,1,1,1,13039,13039,0.26,0.54,0.65,0.72,0.78,0.82,0.84,0.85,0.86,0.87,19956,19956,0.45,0.7,0.79,0.84,0.88,0.9,0.91,0.92,0.93,0.93,16619,16619
