Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
sift,0.58,0.74,0.79,0.83,0.84,0.84,0.85,0.85,0.85,0.85,2901.00,517.00,0.48,0.69,0.77,0.81,0.83,0.84,0.84,0.85,0.85,0.85,6129.00,1292.00,0.53,0.72,0.78,0.82,0.83,0.84,0.85,0.85,0.85,0.85,4572.00,918.00
surf,0.50,0.67,0.73,0.77,0.79,0.80,0.80,0.80,0.81,0.81,3916.00,556.00,0.30,0.54,0.65,0.71,0.74,0.76,0.78,0.78,0.79,0.79,7948.00,1015.00,0.40,0.60,0.69,0.74,0.76,0.78,0.79,0.79,0.80,0.80,6003.00,794.00
orb,0.40,0.50,0.58,0.61,0.62,0.63,0.63,0.63,0.64,0.64,498.00,47.00,0.25,0.49,0.59,0.63,0.64,0.65,0.65,0.66,0.66,0.66,499.00,36.00,0.32,0.50,0.59,0.62,0.63,0.64,0.64,0.65,0.65,0.65,499.00,42.00
kaze,0.54,0.73,0.80,0.85,0.86,0.87,0.88,0.89,0.89,0.90,1965.00,483.00,0.38,0.64,0.75,0.81,0.85,0.86,0.88,0.89,0.89,0.90,4196.00,979.00,0.45,0.68,0.78,0.83,0.85,0.87,0.88,0.89,0.89,0.90,3120.00,740.00
akaze,0.53,0.72,0.78,0.83,0.84,0.85,0.86,0.86,0.86,0.86,1584.00,275.00,0.38,0.60,0.71,0.75,0.77,0.78,0.79,0.80,0.80,0.80,3729.00,462.00,0.45,0.66,0.74,0.79,0.81,0.82,0.82,0.83,0.83,0.83,2694.00,372.00
