Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
superpoint,0.6,0.85,0.93,0.97,0.98,0.99,0.99,1,1,1,440,440,0.31,0.51,0.61,0.68,0.75,0.77,0.79,0.81,0.82,0.83,393,393,0.45,0.67,0.77,0.82,0.86,0.87,0.89,0.9,0.91,0.91,416,416
superglue,0.64,0.87,0.92,0.96,0.98,0.99,1,1,1,1,460,460,0.41,0.61,0.7,0.76,0.81,0.85,0.86,0.87,0.9,0.9,423,423,0.52,0.73,0.81,0.86,0.89,0.92,0.93,0.93,0.94,0.95,441,441
patch2pix,0.68,0.88,0.92,0.95,0.96,0.97,0.97,0.97,0.97,0.97,739,739,0.28,0.43,0.52,0.61,0.66,0.7,0.75,0.76,0.79,0.8,709,709,0.47,0.65,0.71,0.77,0.8,0.83,0.86,0.86,0.88,0.88,723,723
dfm,0.64,0.85,0.91,0.95,0.97,0.98,0.99,0.99,0.99,0.99,10171,10171,0.24,0.53,0.63,0.7,0.76,0.8,0.82,0.85,0.85,0.88,15577,15577,0.44,0.68,0.77,0.82,0.86,0.89,0.9,0.92,0.92,0.93,12969,12969
