Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
superpoint,0.48,0.66,0.77,0.83,0.86,0.87,0.89,0.89,0.9,0.91,855,440,0.33,0.6,0.7,0.74,0.77,0.78,0.79,0.79,0.8,0.8,982,393,0.4,0.63,0.73,0.78,0.81,0.82,0.83,0.84,0.85,0.85,921,416
superglue,0.55,0.79,0.92,0.97,0.99,0.99,1,1,1,1,855,460,0.42,0.76,0.88,0.93,0.95,0.96,0.96,0.97,0.97,0.97,982,423,0.48,0.77,0.9,0.95,0.97,0.98,0.98,0.98,0.98,0.98,921,441
patch2pix,0.61,0.87,0.95,0.98,0.99,0.99,1,1,1,1,739,739,0.35,0.68,0.81,0.87,0.89,0.9,0.91,0.91,0.91,0.92,709,709,0.48,0.77,0.88,0.92,0.94,0.95,0.95,0.95,0.95,0.96,723,723
dfm,0.52,0.76,0.86,0.91,0.94,0.96,0.98,0.99,0.99,0.99,10171,10171,0.36,0.64,0.77,0.84,0.88,0.91,0.93,0.94,0.94,0.95,15577,15577,0.44,0.69,0.81,0.88,0.91,0.94,0.95,0.96,0.97,0.97,12969,12969
