Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
sift,0.62,0.79,0.84,0.88,0.89,0.90,0.90,0.90,0.90,0.90,2901.00,454.00,0.50,0.72,0.81,0.85,0.87,0.88,0.89,0.89,0.89,0.90,6129.00,1144.00,0.56,0.75,0.82,0.86,0.88,0.89,0.89,0.90,0.90,0.90,4572.00,811.00
surf,0.55,0.74,0.80,0.84,0.86,0.87,0.87,0.87,0.88,0.88,3916.00,459.00,0.33,0.58,0.71,0.76,0.80,0.82,0.83,0.84,0.85,0.85,7948.00,800.00,0.44,0.66,0.75,0.80,0.83,0.84,0.85,0.86,0.86,0.86,6003.00,636.00
orb,0.45,0.57,0.67,0.70,0.71,0.72,0.72,0.72,0.72,0.73,498.00,35.00,0.27,0.55,0.66,0.69,0.71,0.71,0.72,0.72,0.72,0.72,499.00,23.00,0.36,0.56,0.66,0.70,0.71,0.71,0.72,0.72,0.72,0.72,499.00,29.00
kaze,0.57,0.78,0.85,0.89,0.91,0.91,0.92,0.92,0.93,0.93,1965.00,426.00,0.39,0.66,0.78,0.84,0.87,0.89,0.90,0.91,0.92,0.92,4196.00,838.00,0.48,0.72,0.81,0.86,0.89,0.90,0.91,0.92,0.92,0.93,3120.00,639.00
akaze,0.56,0.76,0.83,0.87,0.89,0.90,0.90,0.91,0.91,0.91,1584.00,229.00,0.40,0.64,0.75,0.80,0.82,0.84,0.84,0.85,0.85,0.86,3729.00,347.00,0.48,0.70,0.79,0.84,0.86,0.87,0.87,0.88,0.88,0.88,2694.00,290.00
