Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
sift,0.57,0.78,0.85,0.90,0.92,0.93,0.94,0.94,0.95,0.95,454.00,454.00,0.36,0.50,0.59,0.68,0.72,0.76,0.78,0.81,0.83,0.84,1144.00,1144.00,0.46,0.64,0.71,0.78,0.82,0.84,0.86,0.87,0.88,0.89,811.00,811.00
surf,0.55,0.77,0.82,0.87,0.90,0.91,0.92,0.93,0.94,0.95,459.00,459.00,0.31,0.46,0.57,0.62,0.66,0.72,0.76,0.79,0.81,0.83,800.00,800.00,0.42,0.60,0.69,0.74,0.77,0.81,0.84,0.86,0.87,0.88,636.00,636.00
orb,0.19,0.29,0.34,0.39,0.42,0.43,0.45,0.48,0.50,0.50,35.00,34.00,0.03,0.12,0.20,0.25,0.29,0.35,0.38,0.43,0.44,0.45,23.00,22.00,0.11,0.20,0.27,0.32,0.35,0.39,0.42,0.45,0.47,0.47,29.00,28.00
kaze,0.46,0.67,0.78,0.84,0.86,0.87,0.89,0.89,0.90,0.90,426.00,426.00,0.30,0.46,0.55,0.62,0.68,0.74,0.76,0.77,0.78,0.81,838.00,838.00,0.38,0.56,0.66,0.73,0.77,0.80,0.82,0.83,0.84,0.85,639.00,639.00
akaze,0.38,0.57,0.67,0.72,0.75,0.79,0.81,0.82,0.82,0.83,229.00,229.00,0.21,0.35,0.42,0.50,0.58,0.62,0.65,0.69,0.71,0.71,347.00,347.00,0.29,0.46,0.54,0.60,0.66,0.70,0.72,0.75,0.76,0.77,290.00,290.00
