Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
superpoint,0.64,0.8,0.88,0.91,0.92,0.92,0.93,0.93,0.93,0.93,855,134,0.35,0.64,0.73,0.76,0.77,0.77,0.77,0.77,0.77,0.77,982,79,0.49,0.71,0.8,0.83,0.84,0.84,0.85,0.85,0.85,0.85,921,106
superglue,0.5,0.71,0.86,0.93,0.96,0.97,0.98,0.99,0.99,0.99,855,521,0.39,0.72,0.85,0.9,0.93,0.95,0.95,0.96,0.96,0.97,982,461,0.44,0.72,0.85,0.91,0.94,0.96,0.97,0.97,0.98,0.98,921,490
patch2pix,0.48,0.74,0.84,0.89,0.92,0.94,0.95,0.96,0.97,0.97,1385,1385,0.26,0.51,0.64,0.7,0.74,0.77,0.79,0.81,0.82,0.83,1245,1245,0.36,0.62,0.74,0.79,0.83,0.85,0.87,0.88,0.89,0.9,1312,1312
dfm,0.8,0.89,0.93,0.95,0.97,0.98,0.99,0.99,0.99,1,1970,1970,0.47,0.75,0.85,0.89,0.91,0.93,0.94,0.94,0.95,0.95,1048,1048,0.63,0.82,0.89,0.92,0.94,0.95,0.96,0.97,0.97,0.97,1493,1493
