Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
superpoint,0.42,0.62,0.68,0.72,0.75,0.77,0.77,0.78,0.78,0.78,134,134,0.08,0.22,0.3,0.35,0.39,0.43,0.46,0.48,0.51,0.54,79,79,0.24,0.41,0.48,0.53,0.56,0.59,0.61,0.63,0.64,0.66,106,106
superglue,0.63,0.88,0.93,0.97,0.98,0.99,1,1,1,1,521,521,0.41,0.6,0.72,0.77,0.81,0.84,0.86,0.88,0.89,0.9,461,461,0.52,0.74,0.82,0.87,0.9,0.91,0.93,0.94,0.94,0.94,490,490
patch2pix,0.73,0.9,0.95,0.98,0.98,1,1,1,1,1,1385,1385,0.3,0.53,0.64,0.71,0.75,0.8,0.81,0.84,0.84,0.86,1245,1245,0.51,0.71,0.79,0.84,0.86,0.89,0.9,0.91,0.92,0.92,1312,1312
dfm,0.51,0.76,0.82,0.85,0.87,0.88,0.89,0.9,0.93,0.93,1970,1970,0.05,0.14,0.25,0.35,0.44,0.49,0.53,0.58,0.63,0.65,1048,1048,0.27,0.44,0.53,0.59,0.65,0.68,0.7,0.74,0.77,0.79,1493,1493
