Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
sift,0.62,0.74,0.77,0.81,0.82,0.83,0.83,0.83,0.83,0.83,2901.00,116.00,0.48,0.68,0.75,0.78,0.79,0.80,0.81,0.81,0.81,0.81,6129.00,186.00,0.55,0.71,0.76,0.79,0.80,0.81,0.82,0.82,0.82,0.82,4572.00,152.00
surf,0.59,0.71,0.74,0.77,0.77,0.78,0.78,0.78,0.78,0.78,3916.00,79.00,0.40,0.61,0.69,0.72,0.73,0.74,0.74,0.74,0.75,0.75,7948.00,56.00,0.49,0.66,0.71,0.75,0.75,0.76,0.76,0.76,0.76,0.76,6003.00,67.00
orb,0.32,0.35,0.36,0.37,0.38,0.38,0.38,0.38,0.38,0.38,498.00,4.00,0.12,0.21,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,499.00,0.00,0.21,0.28,0.30,0.30,0.31,0.31,0.31,0.31,0.31,0.31,499.00,2.00
kaze,0.60,0.73,0.78,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1965.00,111.00,0.44,0.63,0.70,0.73,0.74,0.74,0.74,0.74,0.75,0.75,4196.00,112.00,0.52,0.68,0.74,0.77,0.77,0.78,0.78,0.78,0.78,0.78,3120.00,112.00
akaze,0.47,0.57,0.60,0.62,0.62,0.62,0.62,0.62,0.62,0.62,1584.00,22.00,0.34,0.47,0.51,0.52,0.52,0.53,0.53,0.53,0.53,0.53,3729.00,10.00,0.41,0.52,0.55,0.57,0.57,0.57,0.57,0.58,0.58,0.58,2694.00,16.00
