Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
sift,0.40,0.53,0.56,0.59,0.60,0.60,0.61,0.63,0.64,0.64,116.00,115.00,0.21,0.29,0.34,0.37,0.41,0.44,0.46,0.49,0.51,0.53,186.00,186.00,0.30,0.40,0.45,0.48,0.50,0.52,0.53,0.56,0.57,0.58,152.00,152.00
surf,0.35,0.47,0.51,0.55,0.58,0.60,0.61,0.61,0.61,0.62,79.00,79.00,0.11,0.21,0.26,0.31,0.35,0.36,0.37,0.38,0.41,0.42,56.00,56.00,0.23,0.34,0.38,0.42,0.46,0.47,0.49,0.49,0.50,0.52,67.00,67.00
orb,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,4.00,3.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,2.00,1.00
kaze,0.27,0.43,0.50,0.53,0.55,0.57,0.58,0.59,0.59,0.59,111.00,111.00,0.14,0.23,0.28,0.32,0.36,0.39,0.41,0.43,0.44,0.45,112.00,112.00,0.20,0.32,0.39,0.42,0.45,0.48,0.49,0.51,0.52,0.52,112.00,112.00
akaze,0.13,0.25,0.30,0.33,0.37,0.37,0.37,0.38,0.38,0.38,22.00,22.00,0.05,0.10,0.14,0.15,0.16,0.18,0.19,0.20,0.20,0.21,10.00,10.00,0.09,0.17,0.21,0.24,0.26,0.27,0.28,0.28,0.29,0.29,16.00,16.00
