Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
sift,0.46,0.65,0.70,0.73,0.75,0.76,0.77,0.77,0.77,0.78,206.00,206.00,0.27,0.36,0.40,0.49,0.52,0.56,0.57,0.58,0.62,0.65,445.00,445.00,0.36,0.50,0.54,0.61,0.63,0.65,0.66,0.68,0.69,0.71,330.00,330.00
surf,0.42,0.60,0.68,0.72,0.75,0.75,0.76,0.77,0.77,0.77,160.00,160.00,0.20,0.30,0.38,0.46,0.50,0.54,0.56,0.59,0.60,0.61,175.00,175.00,0.31,0.45,0.53,0.58,0.62,0.64,0.65,0.68,0.68,0.69,168.00,168.00
orb,0.22,0.23,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25,7.00,7.00,0.00,0.01,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.07,1.00,1.00,0.10,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,4.00,4.00
kaze,0.40,0.53,0.60,0.67,0.69,0.70,0.72,0.73,0.73,0.73,191.00,191.00,0.19,0.31,0.39,0.44,0.49,0.51,0.54,0.57,0.58,0.60,274.00,274.00,0.29,0.42,0.49,0.55,0.59,0.60,0.63,0.65,0.65,0.66,234.00,234.00
akaze,0.27,0.37,0.43,0.47,0.48,0.50,0.51,0.52,0.52,0.53,58.00,58.00,0.10,0.18,0.23,0.26,0.29,0.32,0.35,0.37,0.38,0.39,42.00,42.00,0.18,0.27,0.33,0.36,0.38,0.41,0.43,0.44,0.45,0.46,50.00,49.00
