Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
sift,0.68,0.82,0.88,0.91,0.92,0.93,0.93,0.93,0.93,0.93,2901.00,206.00,0.51,0.73,0.82,0.86,0.87,0.88,0.89,0.89,0.89,0.90,6129.00,445.00,0.59,0.78,0.85,0.88,0.89,0.90,0.91,0.91,0.91,0.91,4572.00,330.00
surf,0.65,0.80,0.85,0.88,0.89,0.89,0.89,0.89,0.89,0.90,3916.00,160.00,0.40,0.65,0.76,0.81,0.83,0.85,0.85,0.86,0.87,0.87,7948.00,175.00,0.52,0.72,0.80,0.84,0.86,0.87,0.87,0.88,0.88,0.88,6003.00,168.00
orb,0.39,0.45,0.48,0.49,0.50,0.50,0.50,0.50,0.50,0.50,498.00,7.00,0.18,0.34,0.38,0.41,0.41,0.42,0.42,0.42,0.42,0.42,499.00,1.00,0.28,0.39,0.43,0.45,0.46,0.46,0.46,0.46,0.46,0.46,499.00,4.00
kaze,0.61,0.78,0.83,0.86,0.88,0.88,0.88,0.89,0.89,0.89,1965.00,191.00,0.44,0.69,0.78,0.82,0.84,0.85,0.86,0.86,0.86,0.86,4196.00,274.00,0.52,0.73,0.80,0.84,0.86,0.87,0.87,0.87,0.87,0.87,3120.00,234.00
akaze,0.55,0.68,0.73,0.76,0.78,0.78,0.78,0.78,0.78,0.78,1584.00,58.00,0.41,0.60,0.67,0.69,0.70,0.70,0.71,0.71,0.71,0.71,3729.00,42.00,0.47,0.64,0.70,0.72,0.74,0.74,0.74,0.74,0.74,0.74,2694.00,50.00
