Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
sift,0.45,0.56,0.60,0.63,0.64,0.64,0.64,0.65,0.65,0.65,2901.00,760.00,0.40,0.57,0.63,0.66,0.67,0.68,0.69,0.69,0.69,0.69,6129.00,1789.00,0.42,0.56,0.62,0.64,0.65,0.66,0.67,0.67,0.67,0.67,4572.00,1293.00
surf,0.37,0.50,0.55,0.58,0.60,0.61,0.62,0.62,0.62,0.63,3916.00,929.00,0.22,0.40,0.50,0.54,0.57,0.59,0.60,0.60,0.61,0.61,7948.00,1798.00,0.30,0.45,0.52,0.56,0.58,0.60,0.61,0.61,0.62,0.62,6003.00,1378.00
orb,0.29,0.37,0.42,0.44,0.46,0.46,0.47,0.47,0.47,0.47,498.00,103.00,0.18,0.36,0.43,0.46,0.47,0.48,0.48,0.48,0.49,0.49,499.00,98.00,0.24,0.36,0.43,0.45,0.46,0.47,0.47,0.48,0.48,0.48,499.00,100.00
kaze,0.44,0.60,0.67,0.71,0.73,0.74,0.75,0.75,0.76,0.77,1965.00,648.00,0.32,0.55,0.65,0.70,0.73,0.74,0.76,0.77,0.77,0.78,4196.00,1356.00,0.38,0.57,0.66,0.70,0.73,0.74,0.75,0.76,0.77,0.77,3120.00,1015.00
akaze,0.42,0.56,0.61,0.65,0.66,0.67,0.68,0.68,0.69,0.69,1584.00,428.00,0.29,0.47,0.54,0.58,0.60,0.60,0.61,0.62,0.62,0.62,3729.00,874.00,0.35,0.51,0.58,0.61,0.63,0.64,0.64,0.65,0.65,0.65,2694.00,659.00
