Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
sift,0.63,0.81,0.87,0.92,0.93,0.94,0.95,0.95,0.95,0.95,760.00,760.00,0.40,0.57,0.66,0.73,0.79,0.81,0.83,0.84,0.87,0.87,1789.00,1789.00,0.51,0.68,0.76,0.82,0.86,0.87,0.89,0.89,0.91,0.91,1293.00,1293.00
surf,0.56,0.79,0.87,0.92,0.93,0.94,0.94,0.95,0.95,0.95,929.00,929.00,0.38,0.53,0.63,0.68,0.72,0.77,0.81,0.84,0.85,0.86,1798.00,1798.00,0.47,0.65,0.74,0.80,0.82,0.85,0.87,0.89,0.89,0.90,1378.00,1378.00
orb,0.18,0.36,0.44,0.50,0.55,0.58,0.60,0.62,0.63,0.65,103.00,103.00,0.06,0.20,0.32,0.39,0.43,0.46,0.52,0.57,0.58,0.59,98.00,98.00,0.12,0.28,0.38,0.44,0.48,0.52,0.56,0.59,0.61,0.62,100.00,100.00
kaze,0.44,0.70,0.79,0.86,0.88,0.91,0.92,0.92,0.93,0.93,648.00,648.00,0.34,0.53,0.66,0.72,0.78,0.81,0.84,0.84,0.85,0.86,1356.00,1356.00,0.39,0.61,0.73,0.79,0.83,0.86,0.88,0.88,0.88,0.89,1015.00,1015.00
akaze,0.39,0.66,0.77,0.81,0.84,0.86,0.86,0.86,0.87,0.88,428.00,428.00,0.28,0.44,0.52,0.61,0.65,0.70,0.72,0.73,0.76,0.77,874.00,874.00,0.33,0.54,0.64,0.71,0.74,0.77,0.79,0.80,0.81,0.82,659.00,659.00
