Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
superpoint,0.52,0.71,0.83,0.88,0.91,0.93,0.94,0.95,0.95,0.95,855,391,0.36,0.65,0.76,0.81,0.83,0.84,0.85,0.86,0.86,0.86,982,340,0.43,0.68,0.79,0.85,0.87,0.88,0.89,0.9,0.9,0.91,921,365
superglue,0.54,0.77,0.91,0.96,0.98,0.99,1,1,1,1,855,480,0.41,0.75,0.87,0.92,0.95,0.96,0.96,0.97,0.97,0.97,982,437,0.47,0.76,0.89,0.94,0.96,0.97,0.98,0.98,0.98,0.98,921,458
patch2pix,0.59,0.86,0.94,0.97,0.99,0.99,0.99,1,1,1,893,893,0.34,0.67,0.8,0.86,0.89,0.9,0.92,0.92,0.92,0.93,816,816,0.46,0.76,0.87,0.92,0.94,0.95,0.95,0.96,0.96,0.96,853,853
dfm,0.57,0.79,0.88,0.93,0.96,0.97,0.98,0.99,0.99,0.99,7982,7982,0.38,0.66,0.79,0.85,0.89,0.91,0.93,0.94,0.94,0.95,11328,11328,0.47,0.72,0.83,0.89,0.92,0.94,0.95,0.96,0.97,0.97,9714,9714
