Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
superpoint,0.62,0.85,0.93,0.96,0.98,0.98,0.98,0.99,0.99,0.99,391,391,0.3,0.47,0.58,0.64,0.72,0.75,0.78,0.82,0.84,0.85,340,340,0.46,0.66,0.75,0.79,0.84,0.86,0.88,0.9,0.91,0.92,365,365
superglue,0.65,0.87,0.93,0.97,0.98,0.99,0.99,1,1,1,480,480,0.38,0.63,0.72,0.79,0.82,0.85,0.87,0.89,0.9,0.91,437,437,0.51,0.75,0.82,0.87,0.9,0.92,0.93,0.94,0.94,0.95,458,458
patch2pix,0.7,0.88,0.91,0.95,0.97,0.97,0.98,0.98,0.98,0.98,893,893,0.29,0.46,0.58,0.63,0.68,0.73,0.77,0.8,0.81,0.82,816,816,0.49,0.66,0.74,0.78,0.82,0.85,0.87,0.88,0.89,0.9,853,853
dfm,0.63,0.85,0.92,0.94,0.97,0.98,0.98,0.98,0.98,0.99,7982,7982,0.22,0.46,0.6,0.69,0.76,0.78,0.81,0.83,0.84,0.86,11328,11328,0.42,0.65,0.75,0.81,0.86,0.88,0.89,0.9,0.91,0.92,9714,9714
