Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
superpoint,0.59,0.8,0.9,0.94,0.96,0.97,0.97,0.98,0.98,0.99,352,352,0.27,0.44,0.53,0.61,0.68,0.72,0.75,0.76,0.79,0.81,303,303,0.42,0.61,0.71,0.77,0.82,0.84,0.86,0.87,0.88,0.9,326,326
superglue,0.63,0.86,0.94,0.97,0.98,0.99,1,1,1,1,490,490,0.38,0.58,0.7,0.78,0.83,0.86,0.87,0.88,0.9,0.92,443,443,0.5,0.72,0.81,0.87,0.91,0.93,0.93,0.94,0.94,0.96,466,466
patch2pix,0.72,0.89,0.93,0.96,0.98,0.98,0.98,0.99,0.99,0.99,996,996,0.29,0.47,0.59,0.67,0.73,0.75,0.78,0.8,0.81,0.83,896,896,0.5,0.67,0.75,0.81,0.85,0.86,0.88,0.89,0.9,0.91,944,944
dfm,0.62,0.83,0.89,0.93,0.96,0.97,0.98,0.98,0.98,0.98,6489,6489,0.21,0.46,0.56,0.67,0.72,0.75,0.79,0.81,0.82,0.83,8348,8348,0.4,0.64,0.72,0.8,0.84,0.86,0.88,0.89,0.9,0.91,7451,7451
