Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
superpoint,0.55,0.75,0.87,0.92,0.95,0.96,0.97,0.97,0.98,0.98,855,352,0.38,0.68,0.8,0.85,0.87,0.88,0.89,0.89,0.9,0.9,982,303,0.46,0.72,0.83,0.88,0.91,0.92,0.93,0.93,0.94,0.94,921,326
superglue,0.53,0.76,0.9,0.95,0.98,0.99,0.99,1,1,1,855,490,0.41,0.74,0.87,0.92,0.94,0.95,0.96,0.96,0.97,0.97,982,443,0.46,0.75,0.88,0.94,0.96,0.97,0.98,0.98,0.98,0.98,921,466
patch2pix,0.57,0.84,0.93,0.97,0.98,0.99,0.99,0.99,0.99,1,996,996,0.32,0.64,0.78,0.84,0.88,0.89,0.91,0.91,0.92,0.92,896,896,0.44,0.74,0.85,0.9,0.93,0.94,0.95,0.95,0.96,0.96,944,944
dfm,0.61,0.82,0.9,0.94,0.97,0.98,0.99,0.99,0.99,1,6489,6489,0.39,0.68,0.8,0.86,0.9,0.92,0.93,0.94,0.94,0.95,8348,8348,0.5,0.75,0.85,0.9,0.93,0.95,0.96,0.96,0.97,0.97,7451,7451
