Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
superpoint,0.48,0.69,0.74,0.8,0.83,0.85,0.85,0.86,0.87,0.87,189,189,0.15,0.3,0.37,0.43,0.49,0.53,0.57,0.59,0.62,0.65,137,137,0.31,0.49,0.55,0.61,0.65,0.68,0.71,0.72,0.74,0.75,162,162
superglue,0.63,0.86,0.93,0.97,0.99,0.99,1,1,1,1,515,515,0.39,0.6,0.72,0.77,0.82,0.86,0.88,0.88,0.9,0.91,458,458,0.51,0.72,0.82,0.87,0.9,0.92,0.94,0.94,0.95,0.95,486,486
patch2pix,0.73,0.9,0.95,0.98,0.98,0.99,1,1,1,1,1290,1290,0.29,0.52,0.66,0.7,0.75,0.78,0.8,0.82,0.84,0.85,1163,1163,0.5,0.7,0.8,0.83,0.86,0.88,0.9,0.91,0.91,0.92,1224,1224
dfm,0.58,0.78,0.83,0.87,0.9,0.93,0.93,0.94,0.95,0.96,2696,2696,0.09,0.21,0.35,0.45,0.52,0.57,0.63,0.66,0.69,0.72,1843,1843,0.32,0.49,0.58,0.65,0.71,0.75,0.77,0.79,0.81,0.83,2255,2255
