Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Features,#Matches
superpoint,0.64,0.83,0.92,0.96,0.98,0.98,0.99,0.99,0.99,0.99,855,189,0.37,0.68,0.79,0.82,0.84,0.84,0.85,0.85,0.85,0.85,982,137,0.5,0.75,0.86,0.89,0.91,0.91,0.91,0.92,0.92,0.92,921,162
superglue,0.5,0.72,0.87,0.93,0.97,0.98,0.99,0.99,0.99,0.99,855,515,0.4,0.73,0.85,0.91,0.93,0.95,0.96,0.96,0.97,0.97,982,458,0.45,0.72,0.86,0.92,0.95,0.96,0.97,0.98,0.98,0.98,921,486
patch2pix,0.5,0.77,0.87,0.92,0.95,0.96,0.97,0.97,0.98,0.98,1290,1290,0.27,0.54,0.67,0.74,0.78,0.81,0.83,0.84,0.85,0.86,1163,1163,0.38,0.65,0.77,0.83,0.86,0.88,0.89,0.9,0.91,0.92,1224,1224
dfm,0.77,0.89,0.93,0.95,0.98,0.99,0.99,0.99,1,1,2696,2696,0.45,0.74,0.84,0.89,0.91,0.93,0.94,0.94,0.95,0.95,1843,1843,0.6,0.81,0.89,0.92,0.94,0.96,0.96,0.97,0.97,0.97,2255,2255
