,1,3,5,10
sift,"[0.6, 0.3]","[0.87, 0.3]","[0.93, 0.3]","[0.95, 0.3]"
surf,"[0.52, 0.2]","[0.82, 0.3]","[0.89, 0.3]","[0.93, 0.4]"
orb,"[0.37, 0.4]","[0.68, 0.5]","[0.73, 0.5]","[0.74, 0.5]"
kaze,"[0.52, 0.1]","[0.83, 0.4]","[0.9, 0.4]","[0.94, 0.5]"
akaze,"[0.5, 0.3]","[0.8, 0.4]","[0.87, 0.5]","[0.89, 0.5]"
superpoint,"[0.5, 0.3]","[0.87, 0.4]","[0.93, 0.4]","[0.95, 0.5]"
superglue,"[0.48, 0.1]","[0.9, 0.1]","[0.97, 0.1]","[0.98, 0.1]"
patch2pix,"[0.48, 0.1]","[0.88, 0.1]","[0.94, 0.1]","[0.96, 0.1]"
dfm,"[0.66, 0.1]","[0.89, 0.1]","[0.94, 0.1]","[0.97, 0.1]"
