Algorithms, , , , , ,illumination_all, , , , , , , , , , , ,viewpoint_all, , , , , , , , , , , ,all, , , , , , 
 ,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,",#Matches,#Inliers
superpoint,0.52,0.76,0.83,0.88,0.9,0.91,0.93,0.94,0.94,0.95,235,235,0.2,0.34,0.42,0.49,0.56,0.61,0.66,0.68,0.7,0.72,188,188,0.35,0.54,0.62,0.68,0.72,0.76,0.79,0.81,0.82,0.83,211,211
superglue,0.64,0.86,0.93,0.97,0.98,0.99,1,1,1,1,510,510,0.42,0.6,0.72,0.77,0.82,0.85,0.88,0.89,0.9,0.91,456,456,0.53,0.73,0.82,0.87,0.9,0.92,0.94,0.94,0.95,0.95,482,482
patch2pix,0.75,0.88,0.94,0.98,0.98,0.99,1,1,1,1,1218,1218,0.33,0.54,0.64,0.69,0.74,0.79,0.81,0.82,0.84,0.85,1095,1095,0.53,0.71,0.79,0.83,0.86,0.89,0.9,0.91,0.91,0.92,1154,1154
dfm,0.62,0.82,0.88,0.92,0.93,0.94,0.95,0.96,0.97,0.98,3470,3470,0.1,0.29,0.47,0.54,0.63,0.68,0.71,0.72,0.76,0.78,2909,2909,0.35,0.55,0.67,0.72,0.78,0.81,0.83,0.84,0.86,0.88,3180,3180
